timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1750253910237,3411061087,-0.014332751,0.055190057,-1.2049751
1750253910237,3411061087,-0.014332751,0.055190057,-1.2049751
1750253910254,3411077754,0.44923913,-0.1534749,-1.3243809
1750253910254,3411077754,0.44923913,-0.1534749,-1.3243809
1750253910270,3411094421,0.12356904,-0.017731562,-1.562458
1750253910270,3411094421,0.12356904,-0.017731562,-1.562458
1750253910287,3411111088,-0.13760401,0.39887458,-1.3885851
1750253910287,3411111088,-0.13760401,0.39887458,-1.3885851
1750253910304,3411127755,0.21308078,0.37282833,-1.1533709
1750253910304,3411127755,0.21308078,0.37282833,-1.1533709
1750253910320,3411144422,0.3879605,0.32038787,-1.5309916
1750253910320,3411144422,0.3879605,0.32038787,-1.5309916
1750253910337,3411161089,0.25013256,0.60404265,-1.9999509
1750253910337,3411161089,0.25013256,0.60404265,-1.9999509
1750253910354,3411177756,0.23518346,0.50398374,-2.0321794
1750253910354,3411177756,0.23518346,0.50398374,-2.0321794
1750253910370,3411194423,0.18902522,0.3816842,-1.7618389
1750253910370,3411194423,0.18902522,0.3816842,-1.7618389
1750253910387,3411211090,0.45847255,0.23679215,-1.3592806
1750253910387,3411211090,0.45847255,0.23679215,-1.3592806
1750253910404,3411227757,0.95268935,-0.17810082,-1.2887754
1750253910404,3411227757,0.95268935,-0.17810082,-1.2887754
1750253910420,3411244424,-0.0109855365,0.35494655,-1.8986135
1750253910420,3411244424,-0.0109855365,0.35494655,-1.8986135
1750253910437,3411261091,-0.7241498,1.2378718,-1.6442003
1750253910437,3411261091,-0.7241498,1.2378718,-1.6442003
1750253910454,3411277758,-0.62745756,1.2294127,-1.5135164
1750253910454,3411277758,-0.62745756,1.2294127,-1.5135164
1750253910470,3411294425,-0.074730285,0.5409637,-1.0987997
1750253910470,3411294425,-0.074730285,0.5409637,-1.0987997
1750253910487,3411311092,0.3019526,0.2610954,-0.85308933
1750253910487,3411311092,0.3019526,0.2610954,-0.85308933
1750253910504,3411327759,0.414446,0.19721572,-0.81696606
1750253910504,3411327759,0.414446,0.19721572,-0.81696606
1750253910520,3411344426,0.024543272,0.22184078,-0.96075535
1750253910520,3411344426,0.024543272,0.22184078,-0.96075535
1750253910537,3411361093,-0.48450652,0.5139297,-1.0231419
1750253910537,3411361093,-0.48450652,0.5139297,-1.0231419
1750253910554,3411377760,-0.3813719,0.24021636,-1.0429277
1750253910554,3411377760,-0.3813719,0.24021636,-1.0429277
1750253910570,3411394427,0.17719215,-0.3037074,-1.1298361
1750253910570,3411394427,0.17719215,-0.3037074,-1.1298361
1750253910587,3411411094,0.40509546,-0.050562102,-0.7975397
1750253910587,3411411094,0.40509546,-0.050562102,-0.7975397
