timestamp_ms,acceleration_m/s²_x,acceleration_m/s²_y,acceleration_m/s²_z
1750251924491,0.41008186,3.7962313,8.842086
1750251924522,0.17627311,4.1681557,8.403349
1750251924551,-0.32014966,4.1788545,8.752902
1750251924572,-0.24839842,4.1128645,9.125126
1750251924602,0.14260463,3.993753,8.916082
1750251924632,0.42773908,3.9415293,8.755371
1750251924641,0.41943422,3.8792052,8.828244
1750251924672,0.29568392,3.732785,9.218125
1750251924702,0.109834,3.7006876,9.440113
1750251924722,0.13751696,3.750891,9.281347
1750251924742,0.2570026,3.7972786,9.134627
1750251924772,0.37828386,3.8043118,8.950199
1750251924792,0.33249477,3.8307228,9.004743
1750251924813,0.28259063,3.8877347,9.054048
1750251924842,0.1332523,3.9675663,9.068712
1750251924872,0.26957214,3.9614313,8.767193
1750251924893,0.4723311,3.9757965,8.758813
1750251924922,0.5030816,3.9559693,8.7679405
1750251924943,0.52133745,3.9526772,8.857424
1750251924973,0.5296423,3.9054668,8.883311
1750251924993,0.7285107,3.9478142,9.050382
1750251925023,0.7873183,3.9843256,8.725518
1750251925043,0.8124574,4.2417026,8.309601
1750251925063,0.8598925,4.560131,7.9842887
1750251925093,0.89790046,4.66181,8.032771
1750251925124,0.9504981,4.607192,8.346636
1750251925154,0.76307696,4.442142,8.819865
1750251925183,0.60431147,4.3263226,9.387365
1750251925203,0.4874445,4.1892543,9.621175
1750251925234,0.3919009,4.173767,9.471836
1750251925263,0.29777884,4.2134957,9.071181
1750251925294,0.33159694,4.3530326,8.650176
1750251925314,0.38165072,4.407426,8.386515
1750251925344,0.41127896,4.4101944,8.211438
1750251925364,0.37110126,4.3407626,8.14253
1750251925404,0.30264205,4.2028713,8.442629
1750251925434,0.4861726,4.0728364,8.511761
1750251925454,0.7449708,4.1325417,8.464625
1750251925484,0.75267714,4.365228,8.618154
1750251925514,0.52073884,4.577265,8.890195
1750251925544,0.47517422,4.6529064,9.017162
1750251925564,0.4456956,4.704382,9.017462
1750251925594,0.40297407,4.82499,9.041702
1750251925614,0.40701428,4.658967,8.847773
1750251925645,0.46776715,4.6818614,8.769587
1750251925664,0.46417585,4.50282,8.978182
1750251925695,1.2523171,4.143989,8.596456
1750251925715,1.523685,4.257564,8.520964
1750251925735,0.8260744,4.37069,9.122507
1750251925765,0.44345105,4.4195466,9.314792
1750251925795,0.3748422,4.7789016,9.17301
1750251925815,-0.07766192,4.9156704,9.29287
1750251925845,-0.56563014,4.6053967,9.473108
1750251925875,-0.72319853,4.1121163,9.965715
1750251925905,-0.82929164,3.6096332,10.524312
1750251925935,-1.277531,3.1789012,10.641105
1750251925956,-1.6329952,2.940753,10.216882
1750251925975,-1.5650598,2.7980735,9.325565
1750251926006,-1.2050316,3.036596,8.220267
1750251926045,-1.2659341,3.2630725,8.0915785
1750251926076,-1.1229554,3.0160956,8.393173
1750251926096,-0.7627777,3.0268695,8.590994
