CreatedAt,UpdatedAt,SignalID,Measure
2025-05-18T11:30:44Z,2025-05-18T11:30:44Z,01JVHJFJ9MNQDN64S7GWAQTP00,has_timestamp
2025-05-18T11:30:44Z,2025-05-18T11:30:44Z,01JVHJFJ9MNQDN64S7GWAQTP00,has_acceleration
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHHN3EMZ94Y0HGWPKATKEVZ,has_timestamp
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHHN3EMZ94Y0HGWPKATKEVZ,has_acceleration
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHJ8VPER6MH8VXX45F1DSBY,has_timestamp
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHJ8VPER6MH8VXX45F1DSBY,has_acceleration
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHJCBD0TW763Q2EWXJSWAKM,has_timestamp
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHJCBD0TW763Q2EWXJSWAKM,has_acceleration
2025-05-18T11:37:14Z,2025-05-18T11:37:14Z,01JVHJT44X0H3MBBHN50TJXF99,has_timestamp
2025-05-18T11:37:14Z,2025-05-18T11:37:14Z,01JVHJT44X0H3MBBHN50TJXF99,has_free_acceleration
2025-05-18T11:39:14Z,2025-05-18T11:39:14Z,01JVHJZ0RE3FSQBATB1RJGVQSK,has_timestamp
2025-05-18T11:39:14Z,2025-05-18T11:39:14Z,01JVHJZ0RE3FSQBATB1RJGVQSK,has_free_acceleration
2025-05-18T11:46:14Z,2025-05-18T11:46:14Z,01JVHK6EKE2PWKBP46SBNYVD0E,has_timestamp
2025-05-18T11:46:14Z,2025-05-18T11:46:14Z,01JVHK6EKE2PWKBP46SBNYVD0E,has_acceleration
2025-05-18T11:46:14Z,2025-05-18T11:46:14Z,01JVHKA987PFT702MWRPCZYB9F,has_timestamp
2025-05-18T11:46:14Z,2025-05-18T11:46:14Z,01JVHKA987PFT702MWRPCZYB9F,has_acceleration
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKG15ZE7MV3GNGQEC020ZE,has_timestamp
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKG15ZE7MV3GNGQEC020ZE,has_free_acceleration
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKKPVMHPA51SF8MZF2XEGX,has_timestamp
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKKPVMHPA51SF8MZF2XEGX,has_free_acceleration
2025-05-18T11:56:14Z,2025-05-18T11:56:14Z,01JVHKZ4CADR403MHN6BE87XK4,has_timestamp
2025-05-18T11:56:14Z,2025-05-18T11:56:14Z,01JVHKZ4CADR403MHN6BE87XK4,has_free_acceleration
2025-05-18T11:56:44Z,2025-05-18T11:56:44Z,01JVHKWQQJACB3RDCF123FKJEE,has_timestamp
2025-05-18T11:56:44Z,2025-05-18T11:56:44Z,01JVHKWQQJACB3RDCF123FKJEE,has_free_acceleration
2025-05-18T12:01:44Z,2025-05-18T12:01:44Z,01JVHM8S4N6HMN14HQTK8YAPX5,has_timestamp
2025-05-18T12:01:44Z,2025-05-18T12:01:44Z,01JVHM8S4N6HMN14HQTK8YAPX5,has_free_acceleration
2025-05-18T12:02:44Z,2025-05-18T12:02:44Z,01JVHMAHYZS5F0TV7Y9H3X6VB0,has_timestamp
2025-05-18T12:02:44Z,2025-05-18T12:02:44Z,01JVHMAHYZS5F0TV7Y9H3X6VB0,has_free_acceleration
2025-05-18T12:07:44Z,2025-05-18T12:07:44Z,01JVHMM8JFMWA9JNNAWMHP9QVK,has_timestamp
2025-05-18T12:07:44Z,2025-05-18T12:07:44Z,01JVHMM8JFMWA9JNNAWMHP9QVK,has_free_acceleration
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMVVKHR950PJ5T0ZXZ2CEC,has_timestamp
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMVVKHR950PJ5T0ZXZ2CEC,has_free_acceleration
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMYD8VC78WBV79KCWRF516,has_timestamp
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMYD8VC78WBV79KCWRF516,has_free_acceleration
2025-05-18T12:56:14Z,2025-05-18T12:56:14Z,01JVHMPXCK78YAZN6RFFHZ9ABW,has_timestamp
2025-05-18T12:56:14Z,2025-05-18T12:56:14Z,01JVHMPXCK78YAZN6RFFHZ9ABW,has_free_acceleration
2025-05-21T11:41:44Z,2025-05-21T11:41:44Z,01JVS9B6G5QWA9W8M3CAG793FK,has_timestamp
2025-05-21T11:41:44Z,2025-05-21T11:41:44Z,01JVS9B6G5QWA9W8M3CAG793FK,has_acceleration
2025-05-21T11:42:14Z,2025-05-21T11:42:14Z,01JVS9D186CMMTFAVJAKC1QGQQ,has_timestamp
2025-05-21T11:42:14Z,2025-05-21T11:42:14Z,01JVS9D186CMMTFAVJAKC1QGQQ,has_acceleration
2025-05-21T11:43:14Z,2025-05-21T11:43:14Z,01JVS9P960QHBSMNTRBJD5Q66T,has_timestamp
2025-05-21T11:43:14Z,2025-05-21T11:43:14Z,01JVS9P960QHBSMNTRBJD5Q66T,has_free_acceleration
2025-05-21T13:09:44Z,2025-05-21T13:09:44Z,01JVS9H2XBMF0Z2SJ5VHQ5J1WN,has_timestamp
2025-05-21T13:09:44Z,2025-05-21T13:09:44Z,01JVS9H2XBMF0Z2SJ5VHQ5J1WN,has_acceleration
2025-05-21T13:09:44Z,2025-05-21T13:09:44Z,01JVS9JJB93PR2M7Y5ZHEHMEM9,has_timestamp
2025-05-21T13:09:44Z,2025-05-21T13:09:44Z,01JVS9JJB93PR2M7Y5ZHEHMEM9,has_acceleration
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJQSDR1956CS58RMEZYNSF,has_timestamp
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJQSDR1956CS58RMEZYNSF,has_free_acceleration
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJVEP00CHDA46MQ569VFTC,has_timestamp
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJVEP00CHDA46MQ569VFTC,has_free_acceleration
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJX9H09X2W7J4CDZAW9QX4,has_timestamp
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJX9H09X2W7J4CDZAW9QX4,has_free_acceleration
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJHFA8ZC15CECRVH77C5YB,has_timestamp
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJHFA8ZC15CECRVH77C5YB,has_acceleration
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJJY2KM19FRH1WV3D91Q8T,has_timestamp
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJJY2KM19FRH1WV3D91Q8T,has_acceleration
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJNH0ZR5D2K48BK5PYWE48,has_timestamp
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJNH0ZR5D2K48BK5PYWE48,has_free_acceleration
2025-06-18T12:59:51Z,2025-06-18T12:59:51Z,01JY1HSZ7T13WBYG808D072E8Y,has_timestamp
