CreatedAt,UpdatedAt,ID,AppRecordingID,AlpID,Period.Start,Period.End,StudyID,Note,Routine,IsPassive,IsSkipped
2025-05-18T11:30:44Z,2025-05-18T11:30:44Z,0196e327-c931-b237-64a5-f86946e446ff,01JVHJFJ9HP8VP99FRD53E8HQZ,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:29:17Z,2025-05-18T11:30:04Z,project_team8,P2: Parisa,step_count_challenge,false,false
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,0196e31a-8dd4-a3e6-a29e-8466e028cc92,01JVHHN3EMMFKA57M4CVG2HK4J,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:14:50Z,2025-05-18T11:15:25Z,project_team8,P1: Anton,step_count,false,false
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,0196e324-6ecc-fe3c-6174-1cb9ae23498f,01JVHJ8VPCZRY62X0WQ6Q26JCF,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:25:37Z,2025-05-18T11:26:09Z,project_team8,P1: Anton,step_count_challenge,false,false
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,0196e326-2d9e-68ba-c5ac-298bc227b3c0,01JVHJCBCYD2XCBB19HF12FCY0,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:27:32Z,2025-05-18T11:28:05Z,project_team8,P2: Parisa ,step_count,false,false
2025-05-18T11:37:14Z,2025-05-18T11:37:14Z,0196e32d-109c-328e-4c97-a6b3d94eeded,01JVHJT44W6A74S5X6PFCMXVFD,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:35:03Z,2025-05-18T11:35:33Z,project_team8,P1: Anton,sit_to_stand,false,false
2025-05-18T11:39:14Z,2025-05-18T11:39:14Z,0196e32f-830d-cc0a-e310-52881398151d,01JVHJZ0RDSG5E642JH09SG58X,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:37:44Z,2025-05-18T11:38:14Z,project_team8,P1: Anton,sit_to_stand_challenge,false,false
2025-05-18T11:46:14Z,2025-05-18T11:46:14Z,0196e333-3a6d-7462-fc31-5b570442e73b,01JVHK6EKDEHHFRCAVAW245SSV,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:41:47Z,2025-05-18T11:42:27Z,project_team8,P3: Idrees,step_count,false,false
2025-05-18T11:46:14Z,2025-05-18T11:46:14Z,0196e335-2506-0e1b-aa3b-0fb40d19f391,01JVHKA9861RDTMERFPG6HKWWH,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:43:53Z,2025-05-18T11:44:35Z,project_team8,P3: Idrees,step_count_challenge,false,false
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,0196e338-04be-3528-7a70-c5ad93274b8d,01JVHKG15Y6MM7MW65NP9JEJWD,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:47:01Z,2025-05-18T11:47:31Z,project_team8,P3: Idrees,sit_to_stand,false,false
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,0196e339-db73-b33f-2ad7-0a4c55116691,01JVHKKPVKPCZJNNRA9HAH2SMH,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:49:02Z,2025-05-18T11:49:32Z,project_team8,P3: Idrees,sit_to_stand_challenge,false,false
2025-05-18T11:56:14Z,2025-05-18T11:56:14Z,0196e33f-9188-af20-170d-fe77c0782f37,01JVHKZ4C8NWG1E3FYEZ07GBSQ,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:55:16Z,2025-05-18T11:55:35Z,project_team8,P3: Idrees,water_task_challenge,false,false
2025-05-18T11:56:44Z,2025-05-18T11:56:44Z,0196e33e-5ef1-5983-f629-bc6d664463ff,01JVHKWQQHB61ZCADWDNK48RZZ,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T11:53:58Z,2025-05-18T11:54:18Z,project_team8,P3: Idrees,water_task,false,false
2025-05-18T12:01:44Z,2025-05-18T12:01:44Z,0196e344-6494-7c9c-5e40-a0a20cd1f3ff,01JVHM8S4MFJE5WG50M86D3WZZ,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-18T12:00:32Z,2025-05-18T12:01:02Z,project_team8,P2: Parisa,sit_to_stand,false,false
