timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1747569690981,3649572649,0.2597149,0.59227896,2.6439638
1747569690998,3649589316,-0.64480317,1.2269754,2.6312609
1747569691014,3649605983,-0.4190005,0.03875357,3.9361305
1747569691031,3649622650,0.60202765,-1.0536003,4.405509
1747569691048,3649639317,1.1087455,-1.6847911,3.8302422
1747569691064,3649655984,0.8847126,-1.3747544,2.2730122
1747569691081,3649672651,1.3139455,-1.774536,1.745225
1747569691098,3649689318,1.120513,-2.1012537,1.3582268
1747569691114,3649705985,1.4564891,-2.3188882,0.8839245
1747569691131,3649722652,1.7321564,-2.6639552,0.5769024
1747569691148,3649739319,1.1920854,-2.7902493,0.38500404
1747569691164,3649755986,0.73806506,-2.464102,0.3085451
1747569691181,3649772653,0.5729862,-2.107163,0.38925457
1747569691198,3649789320,0.3928676,-1.7999246,0.3193283
1747569691214,3649805987,0.20679732,-1.5071381,0.33398247
1747569691231,3649822654,0.42622155,-1.2675879,-0.13532352
1747569691248,3649839321,0.45596263,-0.98258096,-0.2671137
1747569691264,3649855988,0.31616846,-0.6493384,-0.19261932
1747569691281,3649872655,-0.11125223,-0.5381767,-0.050177574
1747569691298,3649889322,-0.3377196,-0.62743753,-0.17752552
1747569691314,3649905989,-0.43069315,-0.7577398,-0.34091282
1747569691331,3649922656,-0.6455365,-0.72687656,-0.47971916
1747569691348,3649939323,-0.6158734,-0.65287083,-0.5695534
1747569691364,3649955990,-0.5071851,-0.6141966,-0.77613163
1747569691381,3649972657,-0.57572937,-0.4892817,-0.9865513
1747569691398,3649989324,-0.41098914,-0.3750858,-1.2119684
1747569691414,3650005991,-0.24977013,-0.45441616,-1.5378475
1747569691431,3650022658,-0.5173404,-0.69120574,-2.023838
1747569691448,3650039325,-0.7216017,-0.82190293,-2.4605174
1747569691464,3650055992,-0.39380345,-0.9404442,-2.8371148
1747569691481,3650072659,-0.04681546,-0.8990792,-3.0804768
1747569691498,3650089326,0.083105244,-0.73380077,-3.3744197
1747569691514,3650105993,0.08465844,-0.5791983,-3.674551
1747569691531,3650122660,-0.0013048686,-0.7124282,-3.9297714
1747569691548,3650139327,0.1107567,-1.0089176,-4.06055
1747569691564,3650155994,0.45012155,-1.3502051,-3.826746
1747569691581,3650172661,0.4707621,-1.5604408,-3.8852324
1747569691598,3650189328,0.62486374,-1.5436965,-3.8266172
1747569691614,3650205995,1.006406,-1.5990821,-3.209034
1747569691631,3650222662,1.3701118,-1.6717334,-2.627201
1747569691648,3650239329,1.9539717,-1.9295373,-1.8583608
1747569691664,3650255996,2.6568909,-2.122607,-0.92999554
1747569691681,3650272663,3.3674421,-2.7463896,0.3154745
1747569691698,3650289330,2.2430632,-2.9974747,0.9504614
1747569691714,3650305997,0.1916485,-2.8316333,1.1560669
1747569691731,3650322664,-1.1150087,-2.327878,1.0067387
1747569691748,3650339331,-1.1524744,-1.7317328,0.5506239
1747569691764,3650355998,0.16997087,-1.1291103,0.56616783
1747569691781,3650372665,0.8938927,-0.6814047,0.6442499
1747569691798,3650389332,1.4126488,-0.8815351,0.72375965
1747569691814,3650405999,1.4310497,-1.125218,0.9399023
1747569691831,3650422666,1.5221112,-1.1612823,0.71550846
1747569691848,3650439333,1.5112703,-1.2258214,0.14132309
1747569691864,3650456000,1.3383974,-1.5046451,-0.16520977
1747569691881,3650472667,1.2031242,-1.6912581,-0.49537277
1747569691898,3650489334,1.2070947,-1.808768,-0.45307827
1747569691914,3650506001,1.0339615,-1.7484814,-0.20103645
1747569691931,3650522668,0.86683196,-1.6845884,-0.04941559
1747569691948,3650539335,0.854442,-1.4831336,0.11049461
1747569691964,3650556002,1.0472637,-1.3132476,0.2812109
1747569691981,3650572669,1.1512522,-1.0212555,-0.058755875
1747569691998,3650589336,1.1119202,-0.90648896,-0.60338783
1747569692014,3650606003,1.049848,-0.8675526,-1.2384796
1747569692031,3650622670,1.0161599,-1.0270256,-1.8995423
