CreatedAt,UpdatedAt,ID,ResearchSubjectID,StartDate,SubjectState
2025-05-06T09:58:14Z,2025-05-06T09:58:14Z,51d29662-1125-46ea-ac88-c99b112567c3,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-06T09:58:09.439Z,candidate
2025-05-06T09:58:14Z,2025-05-06T09:58:14Z,543cab73-9911-4bd7-b8ad-170f31d17223,c1a7accb-6c34-4585-b1fd-93d4f0cc8351,2025-05-06T09:58:11.430Z,on-study
