timestamp_ms,acceleration_m/s²_x,acceleration_m/s²_y,acceleration_m/s²_z
1750251857354,0.9778069,2.6615293,9.806051
1750251857384,1.3613281,2.3785646,9.491513
1750251857414,1.416694,2.8275523,8.685415
1750251857424,1.2912229,2.9326727,8.690952
1750251857454,0.6830957,2.992004,9.0808325
1750251857475,0.7994389,2.895413,9.811888
1750251857504,0.99740946,2.6782138,10.342427
1750251857535,1.2782044,2.6361656,9.869573
1750251857565,1.4019548,2.804134,9.394025
1750251857595,1.2533646,2.9754689,9.2308445
1750251857625,1.0464906,3.079018,9.028235
1750251857645,0.926182,3.1711202,9.209447
1750251857674,0.657358,3.1117887,9.466374
1750251857705,0.7894132,3.3621325,9.370756
1750251857725,0.78454995,3.3051953,9.094974
1750251857745,0.82592475,3.330933,9.063475
1750251857765,0.69888246,3.2693572,9.312323
1750251857785,0.58388597,3.1719432,9.703849
1750251857806,0.72514385,3.2341924,9.688063
1750251857846,0.60101944,3.2200518,9.375095
1750251857875,0.45010993,2.6052656,10.323798
1750251857896,0.56765026,2.06253,10.86384
1750251857925,0.86138886,1.9669116,10.004546
1750251857956,0.66940385,2.223989,8.9395
1750251857975,0.18368016,1.8611926,9.092131
1750251858006,-0.30765492,1.0470891,9.693001
1750251858045,-0.43918636,0.8016087,9.620726
1750251858066,-0.37992987,0.74788874,9.643321
1750251858086,-0.3576339,0.57730186,9.75525
1750251858106,-0.3147627,0.504578,9.858275
1750251858126,-0.4026748,0.6072294,9.948058
1750251858146,-0.19131167,0.8796447,9.453132
1750251858177,0.096142165,1.3149405,9.119439
1750251858196,0.23650223,1.5167267,8.987683
1750251858247,0.43364978,2.1675007,8.996961
1750251858266,0.36795887,2.3228245,9.060707
1750251858297,0.41038114,2.4140286,9.196353
1750251858327,0.36152446,2.4470239,9.437419
1750251858357,0.19228433,2.4991724,9.837176
1750251858387,0.05259762,2.4164977,10.17633
1750251858407,-0.05641338,2.437447,9.870845
1750251858427,-0.36698622,2.5492263,9.218799
1750251858457,-0.6812252,2.5719712,8.649727
1750251858487,-0.9968109,2.430414,8.417564
1750251858507,-1.0069863,2.609605,8.126743
1750251858527,-0.55814826,2.6308537,8.051476
1750251858537,-0.37297174,2.4851813,8.079682
1750251858568,0.24518122,2.2674587,7.989526
1750251858598,-0.13227965,2.9328222,8.580444
1750251858627,0.021024084,2.8963108,9.450213
1750251858637,0.20440497,3.1756094,9.71814
1750251858688,1.5928175,2.8167036,8.799589
1750251858708,2.0507834,3.0241761,8.534356
1750251858728,1.8665795,3.3779194,8.739959
1750251858758,1.3682115,3.9086092,9.367614
1750251858788,1.0103531,4.227412,9.889475
1750251858818,0.9461586,4.276119,10.654796
1750251858838,1.1298387,3.9555953,11.039289
1750251858869,1.7555484,3.3102832,11.189975
1750251858888,1.9842695,3.1358805,11.308488
1750251858908,1.9869629,3.0364463,11.344999
1750251858938,1.9655647,2.994847,11.479973
1750251858958,1.9006969,2.9744964,11.759795
1750251858988,1.8855835,2.7584944,12.366575
1750251859009,1.7356466,2.7602901,12.226141
