timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1747569632781,3591373371,0.25722072,-0.103904694,0.09672737
1747569632798,3591390038,0.34814265,-0.38825518,0.036453247
1747569632814,3591406705,0.110095106,-0.40638992,-0.03520775
1747569632831,3591423372,0.0057478594,-0.28659815,-0.05786419
1747569632848,3591440039,-0.21232525,0.04570393,0.11381531
1747569632864,3591456706,-0.25750324,0.26998532,0.83510876
1747569632881,3591473373,-0.14234109,0.46564364,1.019824
1747569632898,3591490040,-0.07097028,0.34170952,0.9801903
1747569632914,3591506707,0.29545084,0.31328896,0.5614958
1747569632931,3591523374,-0.29378074,0.7826617,0.40317345
1747569632948,3591540041,-0.70563847,0.97106993,1.4576359
1747569632964,3591556708,-0.939551,0.7816438,1.7894268
1747569632981,3591573375,-0.9100187,0.93032616,1.233964
1747569632998,3591590042,-0.42622513,1.2042177,0.49432087
1747569633014,3591606709,-0.41741514,1.5043612,0.90539455
1747569633031,3591623376,-0.56531835,1.1964563,2.2514353
1747569633048,3591640043,-0.52717274,0.7110765,2.922411
1747569633064,3591656710,0.12773319,0.12311049,3.2846699
1747569633081,3591673377,-0.021414328,-0.03614763,2.9377594
1747569633098,3591690044,0.36527023,-0.6746137,2.7182846
1747569633114,3591706711,1.2828262,-0.70080876,3.1692839
1747569633131,3591723378,0.86625665,-0.36278522,3.1996422
1747569633148,3591740045,0.21572442,-0.6324556,2.0983362
1747569633164,3591756712,-0.17408195,-0.94498485,0.9533262
1747569633181,3591773379,0.18229337,-0.98781794,0.7177305
1747569633198,3591790046,0.8932275,-0.87795955,1.2176104
1747569633214,3591806713,1.1519666,-0.8585846,0.9915314
1747569633231,3591823380,0.7246288,-0.97623444,0.73732567
1747569633248,3591840047,0.35386235,-1.1260114,0.76215744
1747569633264,3591856714,0.22558269,-1.4282254,0.07789898
1747569633281,3591873381,0.4892683,-1.4099832,-0.07806587
1747569633298,3591890048,0.669095,-1.2232888,-0.20022583
1747569633314,3591906715,0.60692686,-1.0456367,-0.11919212
1747569633331,3591923382,0.39760026,-0.89949065,0.14080238
1747569633348,3591940049,0.049103115,-0.7364607,0.3059168
1747569633364,3591956716,-0.2763161,-0.8413836,0.23151588
1747569633381,3591973383,-0.69471025,-0.92754537,-0.014354706
1747569633398,3591990050,-0.9756168,-0.76906675,-0.44485092
1747569633414,3592006717,-0.68277574,-0.7545355,-0.9115515
1747569633431,3592023384,-0.29807642,-0.72284245,-1.547123
1747569633448,3592040051,0.1870629,-0.72413033,-2.234836
1747569633464,3592056718,0.10277461,-0.64240944,-2.8214922
1747569633481,3592073385,0.08488888,-0.67233413,-3.2447448
1747569633498,3592090052,0.37913275,-0.8239937,-3.3947573
1747569633514,3592106719,-0.02993956,-0.9138858,-3.8017387
1747569633531,3592123386,-0.5121726,-1.0670081,-3.8266845
1747569633548,3592140053,-0.32071942,-1.1755767,-3.6260362
1747569633564,3592156720,0.18187293,-1.1073858,-3.4738765
1747569633581,3592173387,0.38080773,-1.1674128,-3.2983732
1747569633598,3592190054,0.578998,-1.3411374,-3.4867487
1747569633614,3592206721,0.45613205,-1.5197833,-3.531701
1747569633631,3592223388,0.3890064,-1.5201241,-3.2749605
1747569633648,3592240055,0.45822525,-1.5613804,-3.001742
1747569633664,3592256722,0.8519654,-1.8582857,-2.7034674
