timestamp_ms,acceleration_m/s²_x,acceleration_m/s²_y,acceleration_m/s²_z
1750254833284,0.2454805,4.866963,7.9127617
1750254833314,0.40596682,4.9618335,8.301445
1750254833334,0.31341597,4.920533,8.475474
1750254833364,0.30234277,4.8622494,8.654066
1750254833394,0.44726682,4.927342,8.823905
1750254833414,0.52500355,4.9610853,8.679206
1750254833435,0.46567222,4.9794908,8.510714
1750254833464,0.1503858,4.9720087,8.50847
1750254833494,0.2757821,4.9663973,8.475698
1750254833504,0.34588733,5.0403934,8.447492
1750254833535,0.40649056,5.052738,8.392276
1750254833564,0.04938041,4.5510783,8.504728
1750254833595,-0.18779519,4.6604633,8.51408
1750254833615,-0.11813889,4.7747865,8.400655
1750254833644,-0.4894646,5.055731,8.387262
1750254833665,-0.7141455,5.191303,8.487145
1750254833695,-0.4193594,5.290288,8.027908
1750254833705,-0.34558806,5.4726963,7.844901
1750254833735,-0.4854244,5.7980833,7.7010994
1750254833765,-0.80475104,5.5386114,7.9230866
1750254833785,-0.80684596,5.4432178,8.017583
1750254833815,-0.6714988,5.80766,7.6899514
1750254833845,-0.6946926,5.8586864,7.4423013
1750254833876,-0.8406641,5.2761474,7.6829934
1750254833905,-0.49111062,5.297695,6.8236246
1750254833916,-0.4173393,5.402067,6.574029
1750254833925,-0.32516253,5.4131403,6.3351326
1750254833976,-0.49761987,5.0933647,6.5490394
1750254833996,-0.5661539,4.9386396,6.2256727
1750254834026,-0.3692308,4.9031754,6.4821515
1750254834056,-0.89348614,3.8619223,8.012869
1750254834086,-0.632593,3.766154,8.459463
1750254834096,-0.8205378,3.35697,8.383297
1750254834126,0.533907,5.18629,9.716943
1750254834146,2.633547,5.252579,10.611252
1750254834186,1.0208278,3.068768,11.249381
1750254834216,1.5556326,4.4589763,10.175956
1750254834236,1.3081319,4.822371,9.82715
1750254834256,1.1309611,4.062137,10.497452
1750254834287,1.3588591,2.9057379,11.589807
1750254834317,1.6247652,4.549806,12.731841
1750254834336,2.2599769,5.096208,11.538481
1750254834356,2.3719804,4.8631473,10.141614
1750254834387,1.5392473,3.477503,8.757241
1750254834397,1.0222493,3.092336,8.493879
1750254834427,0.36736032,2.939481,8.030302
1750254834457,-0.5162497,4.341511,8.417714
1750254834466,-0.77055883,4.309039,8.46238
1750254834497,-0.5479729,3.3692403,7.661146
1750254834517,-0.11432313,3.6574423,6.4977136
1750254834537,-0.43828854,3.8316953,7.0414968
1750254834567,-0.9672575,3.5158105,9.166351
1750254834598,-1.6490812,3.831022,9.669059
1750254834628,-1.4711621,4.0434327,8.606108
1750254834657,-2.1972785,5.0448823,8.894384
1750254834677,-1.8914942,4.750246,9.919103
1750254834698,-1.8347815,4.708048,10.662053
1750254834727,-2.4447792,4.609437,10.865261
1750254834758,-3.515137,4.0088663,10.316839
1750254834798,-2.0578163,4.6517844,10.752584
1750254834818,-1.4523826,4.12289,11.484312
1750254834838,-1.6564134,3.0317328,11.571102
1750254834868,-2.0403836,2.4392426,9.912444
1750254834898,-1.5159786,3.0582185,8.233136
1750254834918,-1.0010008,3.0817118,7.8517847
1750254834939,-0.93119484,2.8955624,7.83308
1750254834969,-0.7260417,2.7001357,7.476942
1750254834978,-0.6224176,2.9361892,7.275081
1750254835009,-0.6875848,3.320683,7.4901104
1750254835029,-0.81515086,2.689287,7.5193644
1750254835048,-1.2290485,2.5519197,7.32925
1750254835069,-1.7368437,2.91928,7.041796
1750254835098,-1.2603227,3.3944542,6.947375
1750254835118,-1.1407623,3.2188547,7.6931686
1750254835149,-1.2869582,2.2411973,8.268151
1750254835179,-1.8850597,2.5231144,8.297854
1750254835209,-0.79644614,3.9315784,8.504279
1750254835239,0.86258596,3.626617,10.317288
1750254835249,0.93688107,3.245116,11.025449
1750254835279,0.03606266,3.3418567,12.596868
1750254835290,0.34401685,3.3694649,12.627394
1750254835319,1.5285481,3.5199254,12.714558
1750254835340,0.98094934,2.9620016,13.294254
1750254835359,0.4890157,2.0450222,13.332187
1750254835379,0.7695114,2.0130746,12.713361
1750254835410,1.5036335,3.9719806,9.880945
1750254835440,1.8428619,4.4007673,8.994118
1750254835460,1.3311762,3.6462944,8.529344
1750254835490,0.41299978,3.529951,7.2179193
1750254835510,-0.3075801,3.874342,6.2499137
1750254835530,-0.73958385,3.8158338,5.8557687
1750254835560,-0.5291934,3.8292263,5.758579
1750254835580,-0.4381389,3.697246,5.9655275
1750254835610,-1.1304373,3.567959,6.319645
1750254835620,-1.3437457,3.5216463,6.4387565
1750254835650,-1.622745,3.8073792,7.1270146
1750254835681,-1.5485247,4.0439563,9.18513
1750254835700,-2.1622634,3.9876926,10.621726
1750254835731,-2.5492263,3.633276,10.337789
1750254835751,-2.3407063,4.3172693,9.638757
1750254835781,-3.478775,4.6152725,10.221745
1750254835801,-3.1259296,3.8759134,10.945168
1750254835831,-1.6798317,3.5988593,11.968465
1750254835861,-2.054674,2.6330981,12.5195055
1750254835881,-2.511368,1.9724481,11.8531685
1750254835901,-1.8892496,2.3466918,10.516007
1750254835921,-1.1460744,3.4353054,9.296236
1750254835951,-0.1723077,3.3312323,9.368212
1750254835971,-0.4376152,2.6437223,9.231368
1750254836001,-0.820463,2.1718402,8.649203
1750254836031,-0.48475102,2.693477,8.215254
1750254836051,-0.058283847,2.9274354,7.4690113
1750254836071,0.11664251,3.3857005,6.4355392
1750254836091,0.19288288,3.7329345,5.7537904
1750254836121,-0.17500117,3.5114708,6.6632876
1750254836142,-0.3314473,3.2472856,7.654338
1750254836172,-0.3060837,3.516783,8.170588
1750254836201,-0.27638066,3.92679,7.8531313
