timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1747568264340,2222971813,0.02475406,-0.024270155,0.051426888
1747568264357,2222988480,0.046308532,-0.030300757,0.017139435
1747568264373,2223005147,0.043230757,-0.033578128,-0.024962425
1747568264390,2223021814,0.12863909,-0.046809647,-0.023041725
1747568264407,2223038481,0.15537503,0.026020484,0.08130646
1747568264423,2223055148,0.09330347,0.115433715,0.18973064
1747568264440,2223071815,-0.03514719,0.110829346,0.28187656
1747568264457,2223088482,-0.07424564,-0.010274444,0.16336727
1747568264473,2223105149,-0.06422913,-0.0643952,-0.057617188
1747568264490,2223121816,-0.02703635,-0.06766877,-0.2157259
1747568264507,2223138483,0.07543093,0.024252273,-0.11927605
1747568264523,2223155150,-0.0017498829,0.05023722,0.057785988
1747568264540,2223171817,-0.08890474,0.10673615,0.3297491
1747568264557,2223188484,-0.29134288,0.13034694,0.39660358
1747568264573,2223205151,-0.30948475,0.050598416,0.35623932
1747568264590,2223221818,-0.27951077,-0.005883308,0.25298882
1747568264607,2223238485,-0.17757568,-0.013748058,0.26732254
1747568264623,2223255152,-0.103456326,0.09098162,0.5259037
1747568264640,2223271819,-0.050685138,0.15574896,0.70483875
1747568264657,2223288486,-0.037190545,0.27475733,1.0935602
1747568264673,2223305153,-0.213996,0.44597673,1.4750996
1747568264690,2223321820,-0.22309253,0.5914908,1.7225504
1747568264707,2223338487,-0.138015,0.7630578,2.0778313
1747568264723,2223355154,-0.121080995,1.0517491,2.6044073
1747568264740,2223371821,-0.28364956,1.0180086,2.9119558
1747568264757,2223388488,-0.9247683,1.0466211,2.3039122
1747568264773,2223405155,-2.025879,0.45069957,0.73696136
1747568264790,2223421822,-0.25637183,-0.63005483,2.1200352
1747568264807,2223438489,0.4131143,0.458029,3.2003574
1747568264823,2223455156,-0.5699044,0.99063176,2.816945
1747568264840,2223471823,-0.6703189,1.108403,3.3166618
1747568264857,2223488490,-0.18294357,0.8108411,3.935461
1747568264873,2223505157,-0.07969041,0.42055884,3.3882895
1747568264890,2223521824,-0.50215715,0.37690142,1.6771555
1747568264907,2223538491,-0.48564515,0.8798498,0.075808525
1747568264923,2223555158,-0.54979,1.010099,0.22068405
1747568264940,2223571825,-0.7338261,0.36004293,0.42812252
1747568264957,2223588492,-0.84482133,0.7254837,1.1470213
1747568264973,2223605159,-1.1320394,0.8662866,2.9734497
1747568264990,2223621826,0.061939016,0.43092045,4.7049675
1747568265007,2223638493,-0.011900947,0.5491709,4.116065
1747568265023,2223655160,-0.43228993,1.1355205,2.4722462
1747568265040,2223671827,-0.8789504,1.4091204,1.3468637
1747568265057,2223688494,-0.8145241,1.1753529,0.61472607
1747568265073,2223705161,-0.9331268,1.0129068,0.090081215
1747568265090,2223721828,-1.1481142,1.1000494,-0.51352024
1747568265107,2223738495,-1.3518115,1.0492367,-0.90982246
1747568265123,2223755162,-1.1694908,0.9944927,-1.102066
1747568265140,2223771829,-1.0735497,0.9550959,-1.2374573
1747568265157,2223788496,-0.9891198,0.8963802,-1.2757273
1747568265173,2223805163,-0.605624,0.6904959,-1.4650307
1747568265190,2223821830,-0.20740204,0.33346257,-1.6934233
1747568265207,2223838497,-0.09588102,0.04481435,-1.5069313
1747568265223,2223855164,-0.23484148,-0.1407984,-1.4604874
1747568265240,2223871831,-0.47032848,-0.3324451,-1.6068048
1747568265257,2223888498,-0.4075323,-0.59150916,-1.7366447
1747568265273,2223905165,-0.09646641,-0.9723089,-1.734643
1747568265290,2223921832,0.56537783,-1.4117432,-1.7268419
1747568265307,2223938499,1.4511644,-1.7529399,-2.1310644
1747568265323,2223955166,1.407827,-1.7690731,-2.948205
1747568265340,2223971833,0.5518203,-1.669787,-4.08028
1747568265357,2223988500,0.7251676,-1.7248025,-5.3705645
1747568265373,2224005167,1.0816662,-1.3964493,-6.161739
1747568265390,2224021834,1.8790553,-1.5482033,-6.2143354
1747568265407,2224038501,2.23948,-1.765252,-5.8181586
1747568265423,2224055168,2.9953232,-2.1985643,-4.6965113
1747568265440,2224071835,3.589216,-2.6627781,-3.255601
1747568265457,2224088502,3.552234,-2.9455242,-1.9382806
1747568265473,2224105169,3.4932652,-3.0586145,-0.97520065
1747568265490,2224121836,3.4565752,-2.9324415,-0.5014467
1747568265507,2224138503,3.320026,-2.2686265,-0.78737545
1747568265523,2224155170,2.620774,-1.6574521,-0.62478256
1747568265540,2224171837,2.703416,-1.7616361,0.7247782
1747568265557,2224188504,2.9596899,-2.8440056,2.2910585
1747568265573,2224205171,3.0092485,-4.166345,2.6690588
1747568265590,2224221838,3.0697792,-4.665263,2.6800442
1747568265607,2224238505,3.474112,-4.3204317,2.5809317
1747568265623,2224255172,3.2124016,-3.4272082,2.7579727
1747568265640,2224271839,3.1202178,-3.0724664,3.1852694
1747568265657,2224288506,4.381036,-2.5738425,2.4026308
1747568265673,2224305173,5.293575,-2.4911945,-0.29670334
1747568265690,2224321840,3.1037855,-2.2676601,-3.1653857
1747568265707,2224338507,-0.46533856,-1.7841316,-5.110463
1747568265723,2224355174,-2.8171082,-1.4047828,-6.9113264
1747568265740,2224371841,-3.938444,-1.093404,-8.527311
1747568265757,2224388508,-4.036405,-0.74481124,-9.649013
1747568265773,2224405175,-3.213685,-0.48848906,-10.52148
1747568265790,2224421842,-3.6934826,-0.16317709,-10.249792
1747568265807,2224438509,-3.736842,2.0322087,-8.762091
1747568265823,2224455176,-2.5961013,2.6579654,-5.8211884
1747568265840,2224471843,-1.0752093,1.6255541,-3.6757274
1747568265857,2224488510,2.1314228,1.5563408,-3.3393245
1747568265873,2224505177,3.2792163,2.4413733,-3.255032
1747568265890,2224521844,2.47143,3.9058769,-2.9615846
1747568265907,2224538511,0.9927101,5.3414025,-2.91157
1747568265923,2224555178,-1.9470454,3.28854,-1.6406317
1747568265940,2224571845,-3.9152699,-0.29675412,-0.44450855
1747568265957,2224588512,-4.500159,-2.1505768,-0.34738636
1747568265973,2224605179,-2.278369,-0.59529656,-2.2064357
1747568265990,2224621846,-1.6979862,1.3411732,-1.398778
1747568266007,2224638513,-1.5782647,0.05812097,0.6939535
1747568266023,2224655180,-1.7866571,-1.2032782,1.0584106
1747568266040,2224671847,-1.1676954,-0.036707085,2.210658
1747568266057,2224688514,1.8678858,1.6300792,1.0868034
1747568266073,2224705181,1.7603686,4.2901187,-4.297155
1747568266090,2224721848,-3.4059737,-0.710482,6.3869514
1747568266107,2224738515,14.544206,-40.946754,39.816875
1747568266123,2224755182,-10.325188,38.450512,26.80642
1747568266140,2224771849,-1.3386759,28.635384,4.3688097
1747568266157,2224788516,7.5099497,-13.659959,4.929366
1747568266173,2224805183,-4.7190104,-14.15505,0.14467144
1747568266190,2224821850,-3.2415318,-1.7285352,-3.8993425
1747568266207,2224838517,-5.1716585,1.2255893,-7.733064
1747568266223,2224855184,-1.2274432,-0.47320956,-4.1675243
1747568266240,2224871851,1.5275725,1.6016929,0.36290455
1747568266257,2224888518,2.217564,1.938172,1.0263195
1747568266273,2224905185,2.0372841,3.512439,1.1839695
1747568266290,2224921852,2.688334,3.576568,1.6148815
1747568266307,2224938519,0.6314253,2.8323104,2.4984875
1747568266323,2224955186,-1.3254502,1.6428708,2.711318
1747568266340,2224971853,-1.371969,0.13096608,2.5090284
1747568266357,2224988520,-0.5797108,-0.6725867,1.4664202
1747568266373,2225005187,-0.35447702,-0.6691752,0.42261982
1747568266390,2225021854,-0.4097328,-0.09681062,0.122169495
1747568266407,2225038521,-0.58192325,0.56741536,1.0765047
1747568266423,2225055188,-2.6451695,1.7423013,4.4008284
1747568266440,2225071855,-1.5526454,1.1110909,8.386387
1747568266457,2225088522,2.9570763,0.6072606,7.0761375
1747568266473,2225105189,-1.6152159,3.5336912,4.7736025
1747568266490,2225121856,-3.213103,3.9658194,4.630348
1747568266507,2225138523,-0.83805287,1.5872222,6.452627
1747568266523,2225155190,-0.15309565,0.8843317,5.8334846
1747568266540,2225171857,0.09305381,1.3631737,2.72359
1747568266557,2225188524,-0.5429818,2.8718777,-0.8449688
1747568266573,2225205191,-1.9180344,3.549799,-3.7515388
1747568266590,2225221858,-1.828902,4.0230885,-4.031202
1747568266607,2225238525,-2.1244454,3.4772677,0.28508663
1747568266623,2225255192,-1.0433832,1.6839216,4.16253
1747568266640,2225271859,-0.043699913,0.1161427,5.896641
1747568266657,2225288526,0.8083241,-1.0535033,6.2339916
1747568266673,2225305193,0.5643628,-1.3429182,5.1728344
1747568266690,2225321860,-0.50740415,-0.8962552,3.156045
1747568266707,2225338527,-1.1638384,-0.34744552,1.4223423
1747568266723,2225355194,-1.1216459,-0.12952888,0.4402914
1747568266740,2225371861,-1.1361543,0.18400525,-0.5670185
1747568266757,2225388528,-1.7150272,0.6758703,-1.5129528
1747568266773,2225405195,-2.1519768,1.0903677,-2.1685457
1747568266790,2225421862,-1.4094756,1.1021433,-2.2118278
1747568266807,2225438529,-0.54290104,0.87800133,-2.4045825
1747568266823,2225455196,-0.29371244,0.8131001,-2.249021
1747568266840,2225471863,0.25624564,0.37657687,-2.235386
1747568266857,2225488530,0.08835746,0.40340692,-1.9523907
1747568266873,2225505197,0.7684012,-0.22440253,-2.146397
1747568266890,2225521864,2.0248904,-0.61374223,-2.4532428
1747568266907,2225538531,3.6564474,-1.4802903,-3.7507672
1747568266923,2225555198,4.171965,-1.7028509,-4.717742
1747568266940,2225571865,3.9502897,-2.071132,-6.285328
1747568266957,2225588532,3.3299735,-2.6294708,-7.5592427
1747568266973,2225605199,2.4599369,-3.2010658,-7.5924773
1747568266990,2225621866,1.4281983,-3.885328,-6.619917
1747568267007,2225638533,1.0317289,-4.1756425,-5.4786377
1747568267023,2225655200,1.4056365,-3.3729196,-5.2889795
1747568267040,2225671867,1.783633,-4.7656026,-6.316992
1747568267057,2225688534,1.4647932,-4.1958246,-6.604164
1747568267073,2225705201,1.2399757,-1.8252481,-4.731422
1747568267090,2225721868,0.0944454,-1.2376194,-1.7304287
1747568267107,2225738535,-0.9900618,-2.1186206,2.5483513
1747568267123,2225755202,-0.8452044,-3.0118098,7.7194195
1747568267140,2225771869,1.2358067,-1.97245,12.056576
1747568267157,2225788536,4.1869726,0.2860179,10.56044
1747568267173,2225805203,2.9015384,0.44294143,4.567466
1747568267190,2225821870,3.2026222,-0.76475805,0.08075905
1747568267207,2225838537,4.022948,-1.3145413,-2.4832277
1747568267223,2225855204,3.742596,-1.984392,-4.15556
1747568267240,2225871871,2.4981964,-2.6761625,-5.36659
1747568267257,2225888538,1.1785741,-3.6394088,-6.1994944
1747568267273,2225905205,-0.10445632,-4.671226,-6.8868284
1747568267290,2225921872,1.6541728,-4.9945226,-5.590422
1747568267307,2225938539,4.46215,-6.4054465,-1.6030636
1747568267323,2225955206,4.353097,-4.0996075,-0.0018148422
1747568267340,2225971873,3.3692558,-1.8265673,-1.3788204
1747568267357,2225988540,-0.30742398,-0.48774216,-4.179446
1747568267373,2226005207,-2.92431,0.34376997,-6.9975767
1747568267390,2226021874,-5.157852,1.842117,-8.687864
1747568267407,2226038541,-4.916536,4.573084,-7.171241
1747568267423,2226055208,-1.5790571,3.9124227,-3.4353557
1747568267440,2226071875,-0.4634186,3.5369866,-3.7153392
1747568267457,2226088542,-1.7804614,2.014871,-7.475854
1747568267473,2226105209,-3.0797954,2.6646535,-7.6598577
1747568267490,2226121876,-1.7122017,4.1271753,-4.1407957
1747568267507,2226138543,-1.9820932,4.1614995,-1.1260777
1747568267523,2226155210,-1.6168503,3.5075796,-3.638473
1747568267540,2226171877,-2.3256016,3.4021344,-6.767414
1747568267557,2226188544,-2.7707627,3.0237558,-4.88828
1747568267573,2226205211,-2.7934384,1.5119835,-0.47744942
1747568267590,2226221878,-3.5141878,0.059483502,2.2480497
1747568267607,2226238545,-3.3366032,-1.2021385,4.3189087
1747568267623,2226255212,-1.4793887,-1.1926776,4.3390465
1747568267640,2226271879,1.1372902,-1.0666142,2.4698057
1747568267657,2226288546,2.3627498,3.7755196,-6.328431
1747568267673,2226305213,-1.6374067,-5.11034,8.609272
1747568267690,2226321880,15.003622,-35.237343,49.091526
1747568267707,2226338547,-10.582893,28.648071,26.599052
1747568267723,2226355214,-4.3159747,28.129927,-4.720994
1747568267740,2226371881,-1.6180011,4.433578,1.8280563
1747568267757,2226388548,4.4327574,-8.298769,5.1882744
1747568267773,2226405215,0.97143114,-5.098746,0.60818577
1747568267790,2226421882,-2.727534,-3.3107758,-5.47632
1747568267807,2226438549,-3.704772,-2.6644344,-6.6052465
