timestamp_ms,acceleration_m/s²_x,acceleration_m/s²_y,acceleration_m/s²_z
1747836255666,-1.0884639,3.6750247,8.840815
1747836255685,-1.7223289,4.3816886,9.808745
1747836255705,-0.8726865,4.124237,9.52174
1747836255725,0.5646575,3.6843772,8.959926
1747836255746,0.5426608,4.0075946,8.531139
1747836255765,-0.3772364,4.344728,8.405069
1747836255795,-1.5298948,3.976395,9.17675
1747836255815,-0.7428759,4.048296,9.418415
1747836255835,-0.4321534,3.8697033,8.68579
1747836255856,-1.1179426,3.8767364,8.079533
1747836255875,-2.236334,4.753164,8.027534
1747836255895,-2.1021838,5.0830398,8.25416
1747836255916,-0.8319851,4.621782,7.7360396
1747836255936,-0.17440262,3.9742253,7.9640875
1747836255956,-0.8063971,3.958214,8.372299
1747836255976,-1.4297873,4.318616,8.799514
1747836255996,-1.7461212,4.220978,8.750807
1747836256016,-1.6436194,4.23437,8.832285
1747836256036,-1.525705,3.968988,8.796447
1747836256056,-1.4847044,3.805883,8.370803
1747836256076,-1.0990882,4.202123,8.1480665
1747836256086,-0.9581296,4.573748,8.283489
1747836256126,-0.5361515,4.9369187,10.32477
1747836256146,0.19752164,5.0412908,10.734703
1747836256167,0.5874024,4.7578773,10.381259
1747836256186,0.7202058,4.596194,9.441086
1747836256206,1.1267712,4.7536874,8.443377
1747836256226,0.9124153,4.9174657,8.120758
1747836256247,0.047135845,5.0073233,8.332944
1747836256267,-0.70733696,4.9398365,8.237401
1747836256286,-1.0967689,5.0430117,7.915979
1747836256307,-1.3016227,5.1554646,7.8615856
1747836256337,-1.6746693,4.347122,7.4235215
1747836256357,-1.4929343,3.790545,7.3100214
1747836256377,-1.0527754,5.0011134,7.9487495
1747836256397,-0.874557,5.1810527,8.701652
1747836256417,-0.3036895,4.469002,9.121235
1747836256438,0.9590274,4.3047748,8.790012
1747836256457,1.4238018,4.1189995,8.802507
1747836256478,0.8443302,3.775656,9.289877
1747836256497,0.69304657,3.6512325,8.806847
1747836256517,0.8710405,4.08578,7.1603837
1747836256537,0.32059857,4.554819,6.2336035
1747836256558,-0.7659201,4.725705,6.406435
1747836256578,-1.8124107,4.9944544,6.8375406
1747836256598,-2.5440638,5.0302925,7.5507884
1747836256618,-1.6788591,4.605247,7.8071175
1747836256638,-1.1076924,4.2758946,8.329353
1747836256658,0.6780828,3.505261,8.267852
1747836256668,1.1414356,3.2010477,8.266954
1747836256698,-0.48460138,3.6638768,9.170241
1747836256718,0.025812486,4.195539,9.693225
1747836256738,-0.06711247,3.9268649,9.851092
1747836256758,-1.0027964,3.7540333,9.1960535
1747836256778,-1.4951789,4.4118404,8.637607
1747836256798,-1.6728736,4.69488,8.830789
1747836256818,-0.6075287,4.8494554,8.939949
1747836256838,-0.75626844,5.2055182,9.148395
1747836256858,-1.7234511,5.3928647,9.160066
1747836256879,-1.5750854,5.379472,8.842759
1747836256898,-0.6307973,5.534571,9.04492
1747836256918,-0.730456,5.1636944,9.969531
1747836256938,-0.92610717,4.4426656,10.939781
1747836256959,-0.69304657,4.2147675,10.147151
1747836256979,0.2996493,4.863746,9.3499565
1747836256999,0.3143886,4.794239,8.790611
1747836257019,-0.14013562,4.6414595,8.69978
1747836257039,-0.18577509,4.345551,8.6991825
1747836257059,-0.095094696,4.1802015,9.988685
1747836257089,0.39571664,3.8727708,12.000338
1747836257109,0.29343936,3.6655228,12.222325
1747836257129,-0.20971711,3.2615762,11.866636
1747836257149,-0.20350714,2.790068,11.460445
1747836257169,-0.18809447,2.6369886,10.70889
1747836257189,0.24525604,2.606313,9.790863
1747836257209,0.46440032,2.8681788,9.0485115
1747836257229,0.6338649,3.184064,8.928203
1747836257249,0.7086837,3.3346741,8.75784
1747836257270,-0.040551793,3.2615013,8.387562
1747836257310,-0.35344404,3.0686183,7.9032598
1747836257330,0.010848726,3.3740287,7.8443775
1747836257349,0.07788637,3.5199254,7.4437227
1747836257370,-0.11843816,3.644798,7.158139
1747836257390,-0.24899697,3.8015435,7.0765867
1747836257410,-0.30339023,3.8197243,7.289596
1747836257430,0.054019175,3.862371,7.4210525
1747836257450,0.24757542,3.9725044,7.277251
