timestamp_ms,acceleration_m/s²_x,acceleration_m/s²_y,acceleration_m/s²_z
1747567757744,0.28760347,3.4673278,9.196578
1747567757764,0.2860323,3.4774284,9.119439
1747567757784,0.20298341,3.4922423,8.979828
1747567757804,0.2713678,3.4790742,9.025617
1747567757824,0.23343466,3.4700212,9.243114
1747567757844,0.21734862,3.4159272,9.338734
1747567757864,0.19961657,3.4196682,9.270648
1747567757884,0.20388123,3.4413657,9.150714
1747567757904,0.22303486,3.4374752,9.137919
1747567757924,0.2092682,3.4289458,9.12722
1747567757944,0.21862054,3.4167502,9.0654955
1747567757965,0.23867199,3.438747,9.007436
1747567757985,0.29867667,3.433435,8.973991
1747567758005,0.31251815,3.4096425,9.043274
1747567758025,0.34551322,3.3901148,9.0741
1747567758045,0.34469023,3.4486978,9.033623
1747567758065,0.31214404,3.4052281,8.9889555
1747567758085,0.35471594,3.3943048,8.851888
1747567758105,0.31416416,3.4237084,8.856227
1747567758125,0.40768766,3.508927,9.038935
1747567758145,0.394744,3.4768298,8.940398
1747567758165,0.31416416,3.3406596,8.624139
1747567758185,0.25378537,3.404031,8.800412
1747567758205,0.114173494,3.3292122,8.934338
1747567758225,-0.006584055,3.2513258,8.953042
1747567758246,-0.081103586,3.3979707,9.225533
1747567758266,-0.017357962,3.4518404,9.0716305
1747567758286,-0.10534488,3.612551,8.596755
1747567758306,-0.20814592,3.6115036,8.269797
1747567758326,-0.04182371,3.6537015,8.2950115
1747567758346,0.03187281,3.878083,8.4726305
1747567758365,0.14297873,4.1161566,8.593089
1747567758376,0.19056349,4.248885,8.667684
1747567758416,0.36152446,4.3417354,8.922367
1747567758436,0.93486094,4.3353753,9.2199955
1747567758456,1.0470144,4.409072,9.027637
1747567758476,0.6393267,4.5435963,8.346412
1747567758496,-0.023193829,4.7013893,8.064719
1747567758516,-0.21899463,4.770148,8.324116
1747567758536,-0.20627543,4.610634,8.582166
1747567758556,-0.46088383,4.6285157,8.63813
1747567758577,-0.91099375,4.540379,8.812608
1747567758587,-0.9956138,4.3742065,8.853908
1747567758636,-1.0087819,4.2161145,9.093477
1747567758657,-0.6748656,4.367847,9.346964
1747567758677,-0.3091513,4.2668414,9.884312
1747567758697,-0.3859154,4.009166,10.177452
1747567758716,-1.0022727,3.7825394,10.297312
1747567758737,-1.4329298,3.6391866,10.484359
1747567758757,-1.5052047,3.670386,10.444555
1747567758776,-1.666963,3.8720226,10.634521
1747567758787,-1.6620997,3.8979847,10.906113
1747567758837,-1.2042835,3.506533,11.085453
1747567758858,-0.7161656,3.3295863,11.030012
1747567758877,-0.077811554,3.069217,10.782212
1747567758898,0.42841247,2.7117326,10.585215
1747567758917,0.53024083,2.1888242,10.551097
1747567758938,0.34237084,1.5334862,10.533515
1747567758958,0.35748425,1.1209353,10.288184
1747567758978,0.3800047,1.3218986,9.604191
1747567758997,0.530615,1.7848774,8.523658
1747567759038,0.42437226,2.8357823,6.79871
1747567759057,0.048557404,3.0066683,6.7319713
1747567759078,-0.3482067,2.7914147,7.0857897
1747567759097,-0.56645316,2.6968439,7.675287
1747567759118,-0.4451719,2.6729765,8.062774
1747567759138,-0.34124857,2.8699744,8.385093
1747567759157,-0.19220951,3.0440779,9.0221
1747567759178,-0.2558803,3.0314333,9.369933
1747567759208,-0.5894225,3.3782935,8.829816
1747567759228,-0.81627315,3.7790978,8.512659
1747567759248,-0.77893853,3.944148,8.794352
1747567759269,-0.68010294,3.8914757,9.430087
1747567759288,-0.91615623,3.8662617,9.881169
1747567759309,-1.3109002,3.8489037,9.995418
1747567759329,-1.3747956,3.8931217,10.100838
1747567759348,-1.2404958,3.8329673,10.319234
1747567759369,-1.3207763,3.7948096,10.5733185
1747567759388,-1.945663,4.1529675,10.733206
1747567759408,-1.6821512,3.9748237,10.534936
1747567759428,-0.8431331,3.3901148,11.089494
1747567759449,-0.5478981,2.5370307,11.914894
1747567759469,-1.0391583,2.072032,11.523068
1747567759489,-1.1813889,2.081085,9.920973
1747567759509,-0.9724948,2.692579,8.516998
1747567759529,-0.5469254,3.1137342,7.680075
1747567759548,-0.4261679,3.2515504,7.282189
1747567759569,-0.51348144,3.0281415,7.2233067
1747567759589,-0.6926725,2.7185411,7.6788034
1747567759599,-0.74751467,2.5479543,7.9132857
1747567759629,-1.0699837,2.193388,8.350751
1747567759650,-1.0441712,2.0309565,8.340651
1747567759669,-1.0577883,2.0556467,8.206126
1747567759690,-0.9402479,2.1540334,8.157045
1747567759710,-0.79120886,2.362329,7.990274
1747567759730,-0.58194065,2.6511295,7.875053
1747567759750,-0.34873044,2.8711715,8.178818
1747567759770,-0.33010057,3.0268695,8.860118
1747567759789,-0.5680992,3.11957,9.37502
1747567759810,-0.9552865,3.2998834,9.633519
1747567759830,-1.0898107,3.5853171,9.987337
1747567759849,-0.6915502,3.5817258,10.718243
1747567759870,-0.23298575,3.240926,11.412037
1747567759890,-0.4655226,3.065476,11.19394
1747567759910,-1.2223148,3.6147957,10.5291
1747567759930,-0.53704935,3.306692,9.821913
1747567759950,0.3114707,2.6752212,9.97185
1747567759970,-0.16856676,1.9939212,10.996493
1747567759990,-0.97429043,1.5014638,11.36984
1747567760010,-1.0803835,1.54845,11.041161
1747567760030,0.24293666,1.8784009,10.371083
1747567760050,1.4764743,2.3385365,10.033501
1747567760070,1.4210335,2.720337,9.801039
1747567760091,0.5439327,2.5226655,9.35063
1747567760111,-0.07571663,2.067019,8.73547
1747567760131,-0.43769,1.8650831,8.0915785
1747567760151,-0.75484693,2.1129577,7.7881885
1747567760171,-0.9496002,2.3747487,8.065617
1747567760191,-0.7743746,2.5367315,8.1650505
1747567760211,-0.5256769,2.7897687,7.901913
1747567760230,-0.59825116,3.1444848,7.9248075
1747567760250,-0.8692449,3.1421652,8.213084
1747567760270,-1.1786206,3.1256304,8.267702
1747567760290,-1.0833763,3.1949873,8.314464
1747567760311,-0.9485528,3.3790417,9.056367
1747567760331,-0.94211835,3.3115551,10.024223
1747567760351,-1.1326818,3.1575031,10.660856
1747567760371,-1.3053637,2.9710546,11.03323
1747567760391,-1.1071687,2.6840498,11.216311
1747567760411,-1.4738556,3.0381672,11.319037
1747567760431,-1.6264112,3.6613328,10.738668
1747567760451,-1.1096376,3.646893,9.999234
1747567760472,-0.7130232,3.2655416,10.492963
1747567760491,-0.8950573,2.7733085,11.172093
1747567760512,-0.98925424,2.5560348,10.52117
1747567760532,-1.0189573,2.929979,9.3096285
